TRA05,SEXEP,SUTOT,CHAFF,TAXES
8,1,14,217987,1435
8,1,14,154793,0
6,1,18,249571.04,0
7,1,12,183304,0
4,1,18,354604,0
11,1,15,105986,1008
11,1,26,175077.84,0
7,1,26,258963.29,20
10,1,16,521383,0
7,1,27,575959.51,43
8,1,21,565682,94
12,1,9,65463,304
8,1,12,86988,760
4,1,12,191228,0
11,1,26,264098,0
9,1,14,74181.81,1038
10,1,26,266982.39,0
8,1,10,290889,0
11,1,20,74928.64,0
10,1,17,14841.9,1509
10,1,12,606039,1308
8,1,24,418178.21,23
9,1,19,193692,0
10,1,12,27118,1140
9,1,18,205105,173
8,1,21,143796,710
8,1,3,17484,975
6,1,27,151618,0
8,2,26,47332,2588
8,1,22,340864.73,0
9,1,12,351936,258
8,1,13,125149.02,96
8,1,16,237402.54,0
9,1,11,36764.05,1184
9,2,10,516354.33,0
8,1,11,39645.5,0
9,1,18,42034.36,0
7,1,18,937113,0
11,2,10,50871.49,1854
10,1,12,30952.88,180.5
6,1,26,747288,0
8,2,11,155493,0
9,1,29,576135,0
8,1,4,905250,0
8,1,12,46196,0
9,1,14,67282.45,0
9,1,5,91587,0
12,1,12,218032.27,899
6,1,11,145568.61,0
9,1,22,217940.17,0
10,1,21,199070.15,0
9,1,23,449033,581
9,1,15,90951,616
8,1,14,158864,0
7,1,25,127391,213
9,1,21,221176,671
8,1,7,426370,0
9,1,28,367138.93,688
9,1,8,403780.76,916
10,1,13,59872.93,0
8,1,17,97792.87,1106.68
7,1,19,696634,20
7,1,26,267685,3
9,1,25,324682,0
6,1,21,515911.44,0
10,1,18,125839,0
8,1,20,182418,369
4,1,24,301696.61,0
10,1,13,70387,60
7,1,21,134563,0
8,1,27,193441,36
8,1,15,132536.62,549
9,1,13,42913.28,96
9,1,15,677350.34,0
10,1,23,93418.74,0
10,1,18,271817,0
8,1,28,261530.12,0
8,1,24,176550,446
5,1,27,317666,2293
9,1,1,92159,104
7,1,27,573963,0
8,1,13,110944,0
7,1,4,99022.88,0
9,1,9,434233.19,0
8,1,19,73836,337
10,1,22,288539.9,752
6,1,1,1355146.65,1763
10,1,15,312268,0
10,1,15,100533.71,2928
8,1,16,205678,1198
8,1,12,209443,937
8,1,23,172384,0
9,1,16,30649.55,978
11,1,26,174713,774
10,1,21,99909.1,0
8,1,19,120396,0
8,1,8,16084.34,79.46
8,1,22,169141,0
8,1,26,633258,0
4,1,10,136489,594
7,1,14,598235.57,0
8,1,18,122771.19,31
8,1,16,399902,0
8,1,27,639382.76,0
10,1,11,60346,0
2,1,10,103275,314
10,1,16,135724.62,0
7,1,26,322902,0
7,1,26,258637,0
7,1,14,200660,0
10,1,19,174975,1544
9,1,26,407057,203
9,1,21,221699,0
9,1,23,163424.38,0
7,1,26,183653.28,29
11,1,26,332170,0
10,2,27,654228,642
7,1,23,528449.31,0
9,1,3,45235.36,0
12,1,2,900615,2237
7,1,10,484033,0
10,1,20,416352,940
10,1,19,1059039.72,0
10,1,15,122234,98
9,1,17,160614,3
6,1,27,384202.49,0
8,1,20,350664,0
9,1,15,89604,1031
9,1,16,145381.11,1678
9,2,18,131732.82,0
5,1,22,179746,0
6,1,19,210767.59,0
7,1,18,241054.06,0
8,1,12,182275.35,1771
10,1,19,165270.08,0
9,1,27,403515,0
6,1,30,728381,86
9,2,27,281927,1684
10,1,22,161557,2221
8,1,16,108980,1014
10,1,29,364265,0
9,1,11,60307,103
3,1,1,379567.79,115
8,1,16,209865.49,0
8,1,14,427830,178
7,1,11,80240,0
7,1,14,291052,0
8,1,11,436067,454
7,2,13,184190,1100
9,1,28,736303,72
